tissue,train,val,test
aorta,599,57,51
autochthon_left,614,57,55
autochthon_right,614,57,55
colon,474,52,41
duodenum,405,40,31
esophagus,564,52,53
gallbladder,335,34,27
heart,495,48,45
inferior_vena_cava,521,52,46
kidney_left,420,44,37
kidney_right,411,40,35
liver,500,50,45
lung_lower_lobe_left,541,50,48
lung_lower_lobe_right,532,49,47
lung_upper_lobe_left,555,52,53
lung_upper_lobe_right,477,46,45
pancreas,422,44,37
portal_vein_and_splenic_vein,436,46,37
small_bowel,425,44,36
spleen,473,47,43
stomach,480,48,44
superior_vena_cava,429,42,36
urinary_bladder,300,28,22
vertebrae_L1,420,43,36
vertebrae_L2,372,36,32
vertebrae_L3,333,32,26
vertebrae_L4,329,33,27
vertebrae_L5,321,29,26
vertebrae_T12,464,47,38
